nTargets	NumbOri	DistanceTN	DistanceTB	ProOriBL	SumOriBL	ProTerBL	SumTerBL	TV_1	TV_2	TV_3	TV_4	TV_C	TV_D	TV_A	ctrl
CORBR,GAVST,GEOFO,MELUN,NESNO,TAEGU	3	0.4442	0.1815	0.000103382	0.1413	6.58E-09	0.2627	4	9	8	13	13	21	34	1
CORBR,GEOFO,HALAL,MELUN,NESNO,TAEGU	3	0.4389	0.2196	2.56E-06	0.0979	1.63E-10	0.2193	0	1	1	1	1	2	3	1
CORBR,GEOFO,HALLE,MELUN,NESNO,TAEGU	3	0.4388	0.2196	2.32E-06	0.0978	1.48E-10	0.2192	1	2	2	3	3	5	8	1
CORBR,GEOFO,LEPDI,MELUN,NESNO,TAEGU	3	0.4627	0.1775	0.000155654	0.1638	9.90E-09	0.2852	2	15	4	23	17	27	44	1
CORBR,GEOFO,MELGA,MELUN,NESNO,TAEGU	3	0.629	0.3659	0.000104312	0.1417	6.64E-09	0.2631	7	22	11	21	29	32	61	1
CORBR,GEOFO,MELUN,MERNU,NESNO,TAEGU	3	0.5063	0.1851	0.00023929	0.1998	1.52E-08	0.3212	12	53	27	59	65	86	151	1
CORBR,GEOFO,MELUN,MESUN,NESNO,TAEGU	3	0.4917	0.1864	0.000202351	0.1839	1.29E-08	0.3053	10	33	13	44	43	57	100	1
CORBR,GEOFO,MELUN,NESNO,NIPNI,TAEGU	3	0.444	0.186	9.25E-05	0.1366	5.88E-09	0.258	4	18	4	7	22	11	33	1
CORBR,GEOFO,MELUN,NESNO,OPHHO,TAEGU	3	0.474	0.1802	0.000175634	0.1724	1.12E-08	0.2938	5	22	9	35	27	44	71	1
CORBR,GEOFO,MELUN,NESNO,PELCR,TAEGU	3	0.4472	0.1873	9.69E-05	0.1385	6.16E-09	0.2599	0	9	9	22	9	31	40	1
CORBR,GEOFO,MELUN,NESNO,PHACA,TAEGU	3	0.4671	0.185	0.000148452	0.1607	9.44E-09	0.2821	6	17	13	25	23	38	61	1
CORBR,GEOFO,MELUN,NESNO,PHALE,TAEGU	3	0.4599	0.1826	0.000137301	0.1559	8.73E-09	0.2773	4	13	11	19	17	30	47	1
CORBR,GEOFO,MELUN,NESNO,PHORU,TAEGU	3	0.4447	0.1953	7.25E-05	0.128	4.61E-09	0.2494	0	10	4	18	10	22	32	1
CORBR,GEOFO,MELUN,NESNO,PICPU,TAEGU	3	0.5467	0.1851	0.000333147	0.2402	2.12E-08	0.3616	21	96	28	75	117	103	220	1
CORBR,GEOFO,MELUN,NESNO,PODCR,TAEGU	3	0.4719	0.1953	0.000135675	0.1552	8.63E-09	0.2766	4	19	7	30	23	37	60	1
CORBR,GEOFO,MELUN,NESNO,PTEGU,TAEGU	3	0.4763	0.1864	0.000166573	0.1685	1.06E-08	0.2899	8	43	21	24	51	45	96	1
CORBR,GEOFO,MELUN,NESNO,PYGAD,TAEGU	3	0.4377	0.206	3.14E-05	0.1103	2.00E-09	0.2317	1	4	0	3	5	3	8	1
CORBR,GEOFO,MELUN,NESNO,STRCA,TAEGU	3	0.5897	0.3046	0.000155422	0.1637	9.89E-09	0.2851	3	14	13	32	17	45	62	1
CORBR,GEOFO,MELUN,NESNO,TAEGU,TAUER	3	0.4729	0.1839	0.000164483	0.1676	1.05E-08	0.289	10	20	14	23	30	37	67	1
CORBR,GEOFO,MELUN,NESNO,TAEGU,TINMA	3	0.6699	0.3046	0.000341743	0.2439	2.17E-08	0.3653	17	55	28	38	72	66	138	1
CORBR,GEOFO,MELUN,NESNO,TAEGU,TYTAL	3	0.4612	0.1755	0.000156816	0.1643	9.98E-09	0.2857	8	24	8	25	32	33	65	1
CALAN,CORBR,GEOFO,MERNU,PICPU,TAEGU	3	0.6405	0.1638	1.93E-05	0.1605	1.00E-07	0.4767	31	95	27	65	126	92	218	1
CALAN,CORBR,EGRGA,GEOFO,PELCR,TAEGU	3	0.4901	0.1619	6.44E-06	0.1579	1.59E-08	0.3282	2	5	2	5	7	7	14	1
CALAN,CORBR,EURHE,GEOFO,PHALE,TAEGU	3	0.5413	0.1572	1.59E-05	0.1598	3.79E-08	0.3841	3	8	4	15	11	19	30	1
APTFO,CALAN,CORBR,GEOFO,PYGAD,TAEGU	3	0.4353	0.1806	0.000106024	0.178	9.97E-10	0.2547	5	12	2	16	17	18	35	1
