nTargets	NumbOri	DistanceTN	DistanceTB	ProOriBL	SumOriBL	ProTerBL	SumTerBL	TV_1	TV_2	TV_3	TV_4	TV_C	TV_D	TV_A	ctrl
CORBR,GALGA,GEOFO,MELUN,NESNO,TAEGU	3	0.6232	0.3659	9.08E-05	0.1359	5.78E-09	0.2573	2	23	8	259	25	267	292	1
CORBR,GAVST,GEOFO,MELUN,NESNO,TAEGU	3	0.4442	0.1815	0.000103382	0.1413	6.58E-09	0.2627	2	10	5	124	12	129	141	1
CORBR,GEOFO,HALAL,MELUN,NESNO,TAEGU	3	0.4389	0.2196	2.56E-06	0.0979	1.63E-10	0.2193	0	1	1	20	1	21	22	1
CORBR,GEOFO,HALLE,MELUN,NESNO,TAEGU	3	0.4388	0.2196	2.32E-06	0.0978	1.48E-10	0.2192	0	1	0	34	1	34	35	1
CORBR,GEOFO,LEPDI,MELUN,NESNO,TAEGU	3	0.4627	0.1775	0.000155654	0.1638	9.90E-09	0.2852	0	11	4	229	11	233	244	1
CORBR,GEOFO,MELGA,MELUN,NESNO,TAEGU	3	0.629	0.3659	0.000104312	0.1417	6.64E-09	0.2631	6	17	10	242	23	252	275	1
CORBR,GEOFO,MELUN,MERNU,NESNO,TAEGU	3	0.5063	0.1851	0.00023929	0.1998	1.52E-08	0.3212	4	52	11	441	56	452	508	1
CORBR,GEOFO,MELUN,MESUN,NESNO,TAEGU	3	0.4917	0.1864	0.000202351	0.1839	1.29E-08	0.3053	2	28	7	302	30	309	339	1
CORBR,GEOFO,MELUN,NESNO,NIPNI,TAEGU	3	0.444	0.186	9.25E-05	0.1366	5.88E-09	0.258	2	16	4	144	18	148	166	1
CORBR,GEOFO,MELUN,NESNO,OPHHO,TAEGU	3	0.474	0.1802	0.000175634	0.1724	1.12E-08	0.2938	2	25	6	279	27	285	312	1
CORBR,GEOFO,MELUN,NESNO,PELCR,TAEGU	3	0.4472	0.1873	9.69E-05	0.1385	6.16E-09	0.2599	0	9	4	137	9	141	150	1
CORBR,GEOFO,MELUN,NESNO,PHACA,TAEGU	3	0.4671	0.185	0.000148452	0.1607	9.44E-09	0.2821	2	19	5	202	21	207	228	1
CORBR,GEOFO,MELUN,NESNO,PHALE,TAEGU	3	0.4599	0.1826	0.000137301	0.1559	8.73E-09	0.2773	2	14	5	183	16	188	204	1
CORBR,GEOFO,MELUN,NESNO,PHORU,TAEGU	3	0.4447	0.1953	7.25E-05	0.128	4.61E-09	0.2494	0	4	3	115	4	118	122	1
CORBR,GEOFO,MELUN,NESNO,PICPU,TAEGU	3	0.5467	0.1851	0.000333147	0.2402	2.12E-08	0.3616	7	102	15	617	109	632	741	1
CORBR,GEOFO,MELUN,NESNO,PODCR,TAEGU	3	0.4719	0.1953	0.000135675	0.1552	8.63E-09	0.2766	1	19	3	213	20	216	236	1
CORBR,GEOFO,MELUN,NESNO,PTEGU,TAEGU	3	0.4763	0.1864	0.000166573	0.1685	1.06E-08	0.2899	4	29	10	273	33	283	316	1
CORBR,GEOFO,MELUN,NESNO,PYGAD,TAEGU	3	0.4377	0.206	3.14E-05	0.1103	2.00E-09	0.2317	0	7	0	65	7	65	72	1
CORBR,GEOFO,MELUN,NESNO,STRCA,TAEGU	3	0.5897	0.3046	0.000155422	0.1637	9.89E-09	0.2851	2	13	5	379	15	384	399	1
CORBR,GEOFO,MELUN,NESNO,TAEGU,TAUER	3	0.4729	0.1839	0.000164483	0.1676	1.05E-08	0.289	2	18	5	223	20	228	248	1
CORBR,GEOFO,MELUN,NESNO,TAEGU,TINMA	3	0.6699	0.3046	0.000341743	0.2439	2.17E-08	0.3653	9	56	17	526	65	543	608	1
CORBR,GEOFO,MELUN,NESNO,TAEGU,TYTAL	3	0.4612	0.1755	0.000156816	0.1643	9.98E-09	0.2857	3	26	9	195	29	204	233	1
CALAN,CORBR,GEOFO,MERNU,PICPU,TAEGU	3	0.6405	0.1638	1.93E-05	0.1605	1.00E-07	0.4767	19	95	14	505	114	519	633	1
CALAN,CORBR,EGRGA,GEOFO,PELCR,TAEGU	3	0.4901	0.1619	6.44E-06	0.1579	1.59E-08	0.3282	2	3	1	53	5	54	59	1
CALAN,CORBR,EURHE,GEOFO,PHALE,TAEGU	3	0.5413	0.1572	1.59E-05	0.1598	3.79E-08	0.3841	2	5	3	106	7	109	116	1
APTFO,CALAN,CORBR,GEOFO,PYGAD,TAEGU	3	0.4353	0.1806	0.000106024	0.178	9.97E-10	0.2547	3	10	3	179	13	182	195	1
