nTargets	NumbOri	DistanceTN	DistanceTB	ProOriBL	SumOriBL	ProTerBL	SumTerBL	TV_1	TV_2	TV_3	TV_4	TV_C	TV_D	TV_A	ctrl
CORBR,GALGA,GEOFO,MELUN,NESNO,TAEGU	3	0.6232	0.3659	9.08E-05	0.1359	5.78E-09	0.2573	3	2	1	61	5	62	67	1
CORBR,GAVST,GEOFO,MELUN,NESNO,TAEGU	3	0.4442	0.1815	0.000103382	0.1413	6.58E-09	0.2627	0	3	2	25	3	27	30	1
CORBR,GEOFO,HALAL,MELUN,NESNO,TAEGU	3	0.4389	0.2196	2.56E-06	0.0979	1.63E-10	0.2193	0	1	1	4	1	5	6	1
CORBR,GEOFO,HALLE,MELUN,NESNO,TAEGU	3	0.4388	0.2196	2.32E-06	0.0978	1.48E-10	0.2192	0	2	0	8	2	8	10	1
CORBR,GEOFO,LEPDI,MELUN,NESNO,TAEGU	3	0.4627	0.1775	0.000155654	0.1638	9.90E-09	0.2852	0	4	1	43	4	44	48	1
CORBR,GEOFO,MELGA,MELUN,NESNO,TAEGU	3	0.629	0.3659	0.000104312	0.1417	6.64E-09	0.2631	1	1	3	45	2	48	50	1
CORBR,GEOFO,MELUN,MERNU,NESNO,TAEGU	3	0.5063	0.1851	0.00023929	0.1998	1.52E-08	0.3212	3	12	8	99	15	107	122	1
CORBR,GEOFO,MELUN,MESUN,NESNO,TAEGU	3	0.4917	0.1864	0.000202351	0.1839	1.29E-08	0.3053	2	11	3	67	13	70	83	1
CORBR,GEOFO,MELUN,NESNO,NIPNI,TAEGU	3	0.444	0.186	9.25E-05	0.1366	5.88E-09	0.258	2	3	0	26	5	26	31	1
CORBR,GEOFO,MELUN,NESNO,OPHHO,TAEGU	3	0.474	0.1802	0.000175634	0.1724	1.12E-08	0.2938	0	10	2	64	10	66	76	1
CORBR,GEOFO,MELUN,NESNO,PELCR,TAEGU	3	0.4472	0.1873	9.69E-05	0.1385	6.16E-09	0.2599	0	2	1	31	2	32	34	1
CORBR,GEOFO,MELUN,NESNO,PHACA,TAEGU	3	0.4671	0.185	0.000148452	0.1607	9.44E-09	0.2821	0	6	2	45	6	47	53	1
CORBR,GEOFO,MELUN,NESNO,PHALE,TAEGU	3	0.4599	0.1826	0.000137301	0.1559	8.73E-09	0.2773	1	6	5	38	7	43	50	1
CORBR,GEOFO,MELUN,NESNO,PHORU,TAEGU	3	0.4447	0.1953	7.25E-05	0.128	4.61E-09	0.2494	0	6	2	31	6	33	39	1
CORBR,GEOFO,MELUN,NESNO,PICPU,TAEGU	3	0.5467	0.1851	0.000333147	0.2402	2.12E-08	0.3616	1	23	8	147	24	155	179	1
CORBR,GEOFO,MELUN,NESNO,PODCR,TAEGU	3	0.4719	0.1953	0.000135675	0.1552	8.63E-09	0.2766	1	7	5	45	8	50	58	1
CORBR,GEOFO,MELUN,NESNO,PTEGU,TAEGU	3	0.4763	0.1864	0.000166573	0.1685	1.06E-08	0.2899	0	15	10	64	15	74	89	1
CORBR,GEOFO,MELUN,NESNO,PYGAD,TAEGU	3	0.4377	0.206	3.14E-05	0.1103	2.00E-09	0.2317	0	0	0	13	0	13	13	1
CORBR,GEOFO,MELUN,NESNO,STRCA,TAEGU	3	0.5897	0.3046	0.000155422	0.1637	9.89E-09	0.2851	1	5	5	76	6	81	87	1
CORBR,GEOFO,MELUN,NESNO,TAEGU,TAUER	3	0.4729	0.1839	0.000164483	0.1676	1.05E-08	0.289	2	10	6	51	12	57	69	1
CORBR,GEOFO,MELUN,NESNO,TAEGU,TINMA	3	0.6699	0.3046	0.000341743	0.2439	2.17E-08	0.3653	3	11	8	93	14	101	115	1
CORBR,GEOFO,MELUN,NESNO,TAEGU,TYTAL	3	0.4612	0.1755	0.000156816	0.1643	9.98E-09	0.2857	0	6	3	45	6	48	54	1
CALAN,CORBR,GEOFO,MERNU,PICPU,TAEGU	3	0.6405	0.1638	1.93E-05	0.1605	1.00E-07	0.4767	2	16	4	97	18	101	119	1
CALAN,CORBR,EGRGA,GEOFO,PELCR,TAEGU	3	0.4901	0.1619	6.44E-06	0.1579	1.59E-08	0.3282	0	2	2	10	2	12	14	1
CALAN,CORBR,EURHE,GEOFO,PHALE,TAEGU	3	0.5413	0.1572	1.59E-05	0.1598	3.79E-08	0.3841	0	5	2	21	5	23	28	1
APTFO,CALAN,CORBR,GEOFO,PYGAD,TAEGU	3	0.4353	0.1806	0.000106024	0.178	9.97E-10	0.2547	0	6	0	34	6	34	40	1
