"ncbi_gene_id","ensembl_gene_id"
"SLC26A2","ENSTGUG00000000228"
"SCN4B","ENSTGUG00000000230"
"PPARGC1B","ENSTGUG00000000232"
"ARF1","ENSTGUG00000000233"
"MPZL2","ENSTGUG00000000235"
"LOC100190410","ENSTGUG00000000236"
"LOC100222416","ENSTGUG00000000240"
"ARHGEF37","ENSTGUG00000000241"
"CSNK1A1","ENSTGUG00000000243"
"ZW10","ENSTGUG00000000244"
"HOOK3","ENSTGUG00000000245"
"GJC2","ENSTGUG00000000246"
"IBA57","ENSTGUG00000000247"
"REXO1","ENSTGUG00000000250"
"IL17B","ENSTGUG00000000251"
"PCYOX1L","ENSTGUG00000000252"
"LOC100217899","ENSTGUG00000000254"
"DRD2","ENSTGUG00000000255"
"ACKR2","ENSTGUG00000000256"
"CCDC13","ENSTGUG00000000260"
"HHATL","ENSTGUG00000000261"
"AFAP1L1","ENSTGUG00000000263"
"LOC100221315","ENSTGUG00000000264"
"KCMF1","ENSTGUG00000000265"
"KLHL40","ENSTGUG00000000266"
"ANKK1","ENSTGUG00000000267"
"ABLIM3","ENSTGUG00000000269"
"TTC12","ENSTGUG00000000270"
"ZBTB47","ENSTGUG00000000272"
"FNTA","ENSTGUG00000000273"
"BTBD2","ENSTGUG00000000274"
"NCAM1","ENSTGUG00000000275"
"NKTR","ENSTGUG00000000276"
"SH3TC2","ENSTGUG00000000277"
"MKNK2","ENSTGUG00000000278"
"FUT10","ENSTGUG00000000279"
"NRG1","ENSTGUG00000000280"
"MOB3A","ENSTGUG00000000281"
"SEC22C","ENSTGUG00000000283"
"AP3D1","ENSTGUG00000000284"
"ADRB2","ENSTGUG00000000286"
"LPL","ENSTGUG00000000287"
"STK10","ENSTGUG00000000289"
"LOC100220712","ENSTGUG00000000290"
"BCO2","ENSTGUG00000000294"
"DOT1L","ENSTGUG00000000295"
"IL18","ENSTGUG00000000297"
"NEURL1B","ENSTGUG00000000298"
"DUSP1","ENSTGUG00000000299"
"ERGIC1","ENSTGUG00000000300"
"NKAPD1","ENSTGUG00000000303"
"SF3A2","ENSTGUG00000000305"
"ADCYAP1R1","ENSTGUG00000000306"
"DLAT","ENSTGUG00000000308"
"RPL26L1","ENSTGUG00000000309"
"ABCA1","ENSTGUG00000000310"
"OAZ1","ENSTGUG00000000312"
"ATP6V0E1","ENSTGUG00000000314"
"DIXDC1","ENSTGUG00000000315"
"BNIP1","ENSTGUG00000000316"
"CRYAB","ENSTGUG00000000320"
"LINGO3","ENSTGUG00000000323"
"BOD1","ENSTGUG00000000324"
"LOC115490886","ENSTGUG00000000325"
"MUC16","ENSTGUG00000000327"
"CPEB4","ENSTGUG00000000329"
"LOC100229988","ENSTGUG00000000330"
"GHRHR","ENSTGUG00000000332"
"NSG2","ENSTGUG00000000333"
"ADAMTS10","ENSTGUG00000000334"
"SIK2","ENSTGUG00000000335"
"SLC44A1","ENSTGUG00000000337"
"MSX2","ENSTGUG00000000339"
"DRD1","ENSTGUG00000000340"
"SFXN1","ENSTGUG00000000341"
"SLC27A6","ENSTGUG00000000343"
"LAYN","ENSTGUG00000000344"
"KIF20A","ENSTGUG00000000345"
"MYO1F","ENSTGUG00000000346"
"MINDY4","ENSTGUG00000000347"
"BTG4","ENSTGUG00000000348"
"POU2AF1","ENSTGUG00000000350"
"LOC100218528","ENSTGUG00000000352"
"BRD8","ENSTGUG00000000354"
"C24H11orf53","ENSTGUG00000000356"
"HINFP","ENSTGUG00000000357"
"CRHR2","ENSTGUG00000000359"
"MLLT1","ENSTGUG00000000360"
"ISOC1","ENSTGUG00000000362"
"ACSBG2","ENSTGUG00000000363"
"GARS1","ENSTGUG00000000364"
"ADAMTS19","ENSTGUG00000000365"
"NLRX1","ENSTGUG00000000366"
"NHP2","ENSTGUG00000000368"
"RFX2","ENSTGUG00000000369"
"B4GALT7","ENSTGUG00000000370"
"CTDSPL","ENSTGUG00000000374"
"CBL","ENSTGUG00000000375"
"LMAN2","ENSTGUG00000000376"
"VILL","ENSTGUG00000000377"
"LOC115497161","ENSTGUG00000000378"
"MCAM","ENSTGUG00000000379"
"CHSY3","ENSTGUG00000000380"
"RGS14","ENSTGUG00000000381"
"C1QTNF5","ENSTGUG00000000385"
"MFRP","ENSTGUG00000000387"
"IFI30","ENSTGUG00000000388"
"SLC34A1","ENSTGUG00000000389"
"USP2","ENSTGUG00000000390"
"PLCD1","ENSTGUG00000000391"
"PIK3R2","ENSTGUG00000000392"
"GRK6","ENSTGUG00000000396"
"DLEC1","ENSTGUG00000000397"
"THY1","ENSTGUG00000000398"
"LYRM7","ENSTGUG00000000399"
"SPTLC1","ENSTGUG00000000401"
"ACAA1","ENSTGUG00000000402"
"MAST3","ENSTGUG00000000403"
"TRIM29","ENSTGUG00000000405"
"OAF","ENSTGUG00000000407"
"PDLIM7","ENSTGUG00000000408"
"LOC100226503","ENSTGUG00000000409"
"POU2F3","ENSTGUG00000000410"
"ARRDC2","ENSTGUG00000000411"
"DOK3","ENSTGUG00000000412"
"DDX41","ENSTGUG00000000413"
"ROR2","ENSTGUG00000000414"
"LOC101233818","ENSTGUG00000000415"
"ARHGEF18","ENSTGUG00000000416"
"NFIL3","ENSTGUG00000000417"
"AUH","ENSTGUG00000000418"
"ARHGEF12","ENSTGUG00000000421"
"SYK","ENSTGUG00000000422"
"OXSR1","ENSTGUG00000000423"
"FAM193B","ENSTGUG00000000424"
"LOC101233052","ENSTGUG00000000425"
"INSR","ENSTGUG00000000426"
"MXD3","ENSTGUG00000000428"
"LOC100220756","ENSTGUG00000000430"
"PRELID1","ENSTGUG00000000431"
"GRIK4","ENSTGUG00000000432"
"SEMA4D","ENSTGUG00000000434"
"NSD1","ENSTGUG00000000437"
"FGFR4","ENSTGUG00000000438"
"LOC100217895","ENSTGUG00000000439"
"SECISBP2","ENSTGUG00000000440"
"TBCEL","ENSTGUG00000000441"
"ZNF346","ENSTGUG00000000442"
"USE1","ENSTGUG00000000443"
"TECTA","ENSTGUG00000000444"
"UIMC1","ENSTGUG00000000445"
"CKS2","ENSTGUG00000000446"
"SHC3","ENSTGUG00000000448"
"HK3","ENSTGUG00000000451"
"MYO9B","ENSTGUG00000000453"
"GORASP1","ENSTGUG00000000460"
"ATP5PO","ENSTGUG00000000461"
"SORL1","ENSTGUG00000000462"
"WDR48","ENSTGUG00000000463"
"LOC100222702","ENSTGUG00000000464"
"NXNL2","ENSTGUG00000000467"
"SPIN1","ENSTGUG00000000468"
"HAUS8","ENSTGUG00000000469"
"CPAMD8","ENSTGUG00000000470"
"LOC100224709","ENSTGUG00000000471"
"GART","ENSTGUG00000000472"
"F2RL3","ENSTGUG00000000473"
"SIN3B","ENSTGUG00000000474"
"LOC100220381","ENSTGUG00000000476"
"LOC100219930","ENSTGUG00000000478"
"UBASH3B","ENSTGUG00000000479"
"TMEM38A","ENSTGUG00000000480"
"CRTAM","ENSTGUG00000000481"
"SMIM7","ENSTGUG00000000482"
"JHY","ENSTGUG00000000485"
"BSX","ENSTGUG00000000488"
"LOC100227175","ENSTGUG00000000489"
"UNC5A","ENSTGUG00000000490"
"HSPA8","ENSTGUG00000000491"
"LRRC2","ENSTGUG00000000492"
"LOC105760568","ENSTGUG00000000495"
"GRAMD1B","ENSTGUG00000000497"
"LOC100220866","ENSTGUG00000000498"
"LOC100229022","ENSTGUG00000000502"
"EIF4E1B","ENSTGUG00000000504"
"LOC100229180","ENSTGUG00000000506"
"HABP4","ENSTGUG00000000508"
"MICOS13","ENSTGUG00000000509"
"LOC100221373","ENSTGUG00000000510"
"SNCB","ENSTGUG00000000512"
"ZNF367","ENSTGUG00000000513"
"CELF5","ENSTGUG00000000514"
"ST14","ENSTGUG00000000515"
"CDHR2","ENSTGUG00000000517"
"SLC35D2","ENSTGUG00000000518"
"NCLN","ENSTGUG00000000519"
"RNF44","ENSTGUG00000000520"
"NFRKB","ENSTGUG00000000523"
"ERCC6L2","ENSTGUG00000000524"
"LOC100225270","ENSTGUG00000000525"
"FAF2","ENSTGUG00000000527"
"LOC100224621","ENSTGUG00000000528"
"PRDM10","ENSTGUG00000000530"
"LOC100221337","ENSTGUG00000000531"
"PTCH1","ENSTGUG00000000532"
"LOC100217912","ENSTGUG00000000534"
"LOC115490564","ENSTGUG00000000536"
"EXOG","ENSTGUG00000000538"
"GNA11","ENSTGUG00000000541"
"NOP16","ENSTGUG00000000543"
"RRM1","ENSTGUG00000000544"
"ACVR2B","ENSTGUG00000000545"
"APLP2","ENSTGUG00000000549"
"SIMC1","ENSTGUG00000000550"
"LOC101233398","ENSTGUG00000000551"
"FANCC","ENSTGUG00000000552"
"XYLB","ENSTGUG00000000555"
"NUP98","ENSTGUG00000000556"
"THOC3","ENSTGUG00000000557"
"HRH2","ENSTGUG00000000559"
"LOC115497139","ENSTGUG00000000560"
"LOC100223312","ENSTGUG00000000562"
"C2H9orf152","ENSTGUG00000000563"
"NUB1","ENSTGUG00000000564"
"AOPEP","ENSTGUG00000000565"
"LOC100220430","ENSTGUG00000000567"
"LOC100221517","ENSTGUG00000000568"
"LOC100223643","ENSTGUG00000000569"
"LOC115497131","ENSTGUG00000000570"
"LOC100222387","ENSTGUG00000000572"
"LOC100226230","ENSTGUG00000000573"
"BARX2","ENSTGUG00000000574"
"UBLCP1","ENSTGUG00000000578"
"WDR86","ENSTGUG00000000583"
"RNF145","ENSTGUG00000000584"
"RHEB","ENSTGUG00000000585"
