Targets	N.A	HumanOrtho	HumanTAAS	HumanTAAS.HumanOrtho	HumanOrtho_inTAASc	HumanTAAS_inTAASc	HumanTAAS.HumanOrtho_inTAASc	Types					
0.HALAL,CHLUN,TAUER,CUCCA,TINMA,STRCA	1	1	1	100	0	0	0	4_Random_controls					
0.HALAL,CHLUN,TAUER,MESUN,PTEGU,COLLI	0	0	0	0	0	0	0	4_Random_controls					
0.HALAL,FULGL,PYGAD,APTFO,GALGA,MELGA	0	0	0	0	0	0	0	4_Random_controls					
0.HALAL,FULGL,PYGAD,APTFO,MESUN,PTEGU	0	0	0	0	0	0	0	4_Random_controls					
0.HALAL,PELCR,EGRGA,CALAN,CHAPE,CAPCA	0	0	0	0	0	0	0	4_Random_controls					
0.HALAL,PELCR,EGRGA,CHAVO,BALRE,OPHHO	0	0	0	0	0	0	0	4_Random_controls					
0.HALAL,PELCR,EGRGA,CHLUN,TAUER,CUCCA	0	0	0	0	0	0	0	4_Random_controls					
0.HALAL,PELCR,EGRGA,GALGA,MELGA,ANAPL	2	2	1	50	0	0	0	4_Random_controls					
0.HALAL,PELCR,EGRGA,NIPNI,CHLUN,TAUER	0	0	0	0	0	0	0	4_Random_controls					
0.HALAL,PELCR,EGRGA,NIPNI,PHACA,ANAPL	0	0	0	0	0	0	0	4_Random_controls					
0.HALAL,PELCR,EGRGA,NIPNI,PHACA,CHAPE	0	0	0	0	0	0	0	4_Random_controls					
0.HALAL,PELCR,EGRGA,NIPNI,PHACA,PODCR	0	0	0	0	0	0	0	4_Random_controls					
0.HALAL,PELCR,EGRGA,NIPNI,PHACA,STRCA	1	1	1	100	0	0	0	4_Random_controls					
0.HALAL,PELCR,EGRGA,NIPNI,PYGAD,APTFO	1	1	1	100	0	0	0	4_Random_controls					
0.HALLE,CALAN,CHAPE,CAPCA,CHLUN,TAUER	1	1	1	100	0	0	0	4_Random_controls					
0.HALLE,CALAN,CHAPE,CAPCA,GALGA,MELGA	3	3	2	66.66667	0	0	0	4_Random_controls					
0.HALLE,CHAVO,BALRE,OPHHO,TINMA,STRCA	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,CHLUN,TAUER,CUCCA,GALGA,MELGA	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,CHLUN,TAUER,CUCCA,MESUN,PTEGU	2	2	2	100	1	1	100	4_Random_controls					
0.HALLE,FULGL,PYGAD,APTFO,CHAVO,BALRE	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,FULGL,PYGAD,APTFO,GALGA,MELGA	1	1	1	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,APTFO,GALGA,MELGA,ANAPL	11	8	6	75	0	0	0	4_Random_controls					
0.HALLE,HALAL,BALRE,MESUN,PTEGU,COLLI	5	3	3	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,CALAN,CHAPE,CAPCA,CUCCA	7	6	5	83.33333	1	1	100	4_Random_controls					
0.HALLE,HALAL,CALAN,CHAPE,CAPCA,MELGA	3	2	2	100	1	1	100	4_Random_controls					
0.HALLE,HALAL,CATAU,APTFO,CHLUN,TAUER	1	1	1	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,CALAN,CHAPE,MELGA	5	5	4	80	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,CALAN,CHAPE,PHORU	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,CALAN,CHAPE,TAUER	6	5	3	60	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,CALAN,MESUN,PTEGU	3	3	3	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,CAPCA,CHLUN,TAUER	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,CAPCA,PHORU,PODCR	3	3	2	66.66667	1	1	100	4_Random_controls					
0.HALLE,HALAL,CATAU,CHAPE,MESUN,PTEGU	5	5	4	80	1	1	100	4_Random_controls					
0.HALLE,HALAL,CATAU,CHAVO,BALRE,CALAN	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,CHAVO,BALRE,MESUN	1	1	0	0	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,CHLUN,MESUN,PTEGU	1	0	0	0	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,CHLUN,PHORU,PODCR	9	9	5	55.55556	4	1	25	4_Random_controls					
0.HALLE,HALAL,CATAU,CUCCA,PHORU,PODCR	3	2	1	50	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,EGRGA,CHLUN,TAUER	2	2	1	50	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,EGRGA,PHORU,PODCR	2	2	1	50	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,EURHE,CALAN,CHAPE	7	6	5	83.33333	2	1	50	4_Random_controls					
0.HALLE,HALAL,CATAU,FULGL,CALAN,CHAPE	1	1	1	100	1	1	100	4_Random_controls					
0.HALLE,HALAL,CATAU,GALGA,MELGA,STRCA	20	18	17	94.44444	2	2	100	4_Random_controls					
0.HALLE,HALAL,CATAU,GALGA,TINMA,STRCA	10	10	10	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,GAVST,PHALE,EURHE	4	4	3	75	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,MESUN,PTEGU,ANAPL	7	6	4	66.66667	1	1	100	4_Random_controls					
0.HALLE,HALAL,CATAU,PELCR,EGRGA,CHAPE	1	0	0	0	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,PELCR,EGRGA,CHLUN	4	4	3	75	1	1	100	4_Random_controls					
0.HALLE,HALAL,CATAU,PELCR,EGRGA,COLLI	2	1	1	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,PELCR,EGRGA,GALGA	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,PELCR,EGRGA,GAVST	1	1	1	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,PELCR,EGRGA,PYGAD	1	1	1	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,PHALE,EURHE,MESUN	4	4	3	75	1	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,PHALE,GALGA,MELGA	16	14	11	78.57143	2	2	100	4_Random_controls					
0.HALLE,HALAL,CATAU,PHALE,MESUN,PTEGU	5	5	3	60	1	1	100	4_Random_controls					
0.HALLE,HALAL,CATAU,PHORU,PODCR,ANAPL	3	3	3	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,PHORU,PODCR,MELGA	3	2	2	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,PYGAD,APTFO,PODCR	7	6	5	83.33333	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,PYGAD,APTFO,STRCA	7	7	6	85.71429	2	2	100	4_Random_controls					
0.HALLE,HALAL,CATAU,PYGAD,GALGA,MELGA	7	7	5	71.42857	0	0	0	4_Random_controls					
0.HALLE,HALAL,CATAU,PYGAD,PHALE,EURHE	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,HALAL,CHAPE,CHLUN,TAUER,CUCCA	1	1	1	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,CHAVO,BALRE,CALAN,CHAPE	3	3	3	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,CHAVO,BALRE,TINMA,STRCA	5	5	4	80	2	1	50	4_Random_controls					
0.HALLE,HALAL,CHLUN,MESUN,PTEGU,COLLI	2	2	2	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,CHLUN,TAUER,MESUN,PTEGU	5	5	3	60	1	0	0	4_Random_controls					
0.HALLE,HALAL,EGRGA,CHLUN,TAUER,CUCCA	3	3	3	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,FULGL,PYGAD,APTFO,ANAPL	1	1	1	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,FULGL,PYGAD,APTFO,BALRE	1	1	1	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,FULGL,PYGAD,APTFO,CHAPE	3	2	2	100	1	1	100	4_Random_controls					
0.HALLE,HALAL,FULGL,PYGAD,APTFO,PHALE	2	2	2	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,FULGL,PYGAD,APTFO,TINMA	2	2	2	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,GAVST,CHLUN,TAUER,CUCCA	2	2	2	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,MESUN,PTEGU,COLLI,STRCA	2	2	2	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,MESUN,PTEGU,PHORU,PODCR	5	4	3	75	0	0	0	4_Random_controls					
0.HALLE,HALAL,MESUN,PTEGU,TINMA,STRCA	10	6	4	66.66667	0	0	0	4_Random_controls					
0.HALLE,HALAL,PELCR,CALAN,CHAPE,CAPCA	5	4	3	75	1	1	100	4_Random_controls					
0.HALLE,HALAL,PELCR,CHLUN,TAUER,CUCCA	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,HALAL,PELCR,EGRGA,NIPNI,APTFO	2	2	2	100	1	1	100	4_Random_controls					
0.HALLE,HALAL,PELCR,EGRGA,NIPNI,FULGL	1	0	0	0	0	0	0	4_Random_controls					
0.HALLE,HALAL,PELCR,EGRGA,NIPNI,PODCR	2	2	1	50	1	0	0	4_Random_controls					
0.HALLE,HALAL,PELCR,EGRGA,NIPNI,TINMA	1	1	1	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,PELCR,EGRGA,PHALE,EURHE	4	4	4	100	0	0	0	4_Random_controls					
0.HALLE,HALAL,PHACA,GALGA,MELGA,ANAPL	24	19	13	68.42105	2	1	50	4_Random_controls					
0.HALLE,HALAL,PHALE,EURHE,MESUN,PTEGU	4	4	3	75	0	0	0	4_Random_controls					
0.HALLE,HALAL,PHALE,GALGA,MELGA,ANAPL	32	25	22	88	1	1	100	4_Random_controls					
0.HALLE,HALAL,PTEGU,GALGA,MELGA,ANAPL	34	31	26	83.87097	6	6	100	4_Random_controls					
0.HALLE,PELCR,EGRGA,NIPNI,CALAN,CHAPE	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,PELCR,EGRGA,NIPNI,PHACA,CUCCA	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,PELCR,EGRGA,NIPNI,PHACA,EURHE	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,PELCR,EGRGA,NIPNI,PHACA,GALGA	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,PELCR,EGRGA,NIPNI,PHACA,PTEGU	0	0	0	0	0	0	0	4_Random_controls					
0.HALLE,PHALE,EURHE,CHLUN,TAUER,CUCCA	1	1	1	100	1	1	100	4_Random_controls					
0.HALLE,PHORU,PODCR,GALGA,MELGA,ANAPL	2	1	1	100	0	0	0	4_Random_controls					
0.HALLE,PYGAD,APTFO,CHLUN,TAUER,CUCCA	1	1	1	100	0	0	0	4_Random_controls					
0.LEPDI,CALAN,CHAPE,GALGA,MELGA,ANAPL	21	15	14	93.33333	1	1	100	4_Random_controls					
0.LEPDI,CHAVO,BALRE,MESUN,PTEGU,COLLI	1	1	1	100	0	0	0	4_Random_controls					
0.LEPDI,CHAVO,BALRE,OPHHO,PHORU,PODCR	1	1	1	100	1	1	100	4_Random_controls					
0.LEPDI,HALLE,HALAL,CATAU,CALAN,CHAPE	7	5	3	60	0	0	0	4_Random_controls					
0.LEPDI,HALLE,HALAL,CATAU,PHORU,PODCR	1	1	0	0	0	0	0	4_Random_controls					
0.LEPDI,HALLE,HALAL,CHAVO,BALRE,OPHHO	1	1	1	100	0	0	0	4_Random_controls					
0.LEPDI,HALLE,HALAL,CHLUN,TAUER,CUCCA	3	3	2	66.66667	0	0	0	4_Random_controls					
0.LEPDI,HALLE,HALAL,GALGA,MELGA,ANAPL	32	26	18	69.23077	1	0	0	4_Random_controls					
0.LEPDI,HALLE,HALAL,PELCR,EGRGA,NIPNI	0	0	0	0	0	0	0	4_Random_controls					
0.LEPDI,PELCR,EGRGA,FULGL,PYGAD,APTFO	0	0	0	0	0	0	0	4_Random_controls					
0.LEPDI,PELCR,EGRGA,NIPNI,PHACA,EURHE	2	2	2	100	0	0	0	4_Random_controls					
0.LEPDI,PHALE,EURHE,CHAVO,BALRE,OPHHO	0	0	0	0	0	0	0	4_Random_controls					
0.LEPDI,PYGAD,APTFO,CALAN,CHAPE,CAPCA	0	0	0	0	0	0	0	4_Random_controls					
0.MANVI,CALAN,CHAPE,CHLUN,TAUER,CUCCA	1	1	1	100	0	0	0	4_Random_controls					
0.MANVI,CHAVO,BALRE,CALAN,CHAPE,CAPCA	1	1	1	100	0	0	0	4_Random_controls					
0.MANVI,CHAVO,BALRE,CHLUN,TAUER,CUCCA	2	2	2	100	0	0	0	4_Random_controls					
0.MANVI,CHAVO,BALRE,OPHHO,CALAN,CHAPE	1	1	1	100	0	0	0	4_Random_controls					
0.MANVI,CHAVO,BALRE,OPHHO,MESUN,PTEGU	0	0	0	0	0	0	0	4_Random_controls					
0.MANVI,CHAVO,BALRE,OPHHO,PHORU,PODCR	0	0	0	0	0	0	0	4_Random_controls					
0.MANVI,CHLUN,TAUER,CUCCA,GALGA,MELGA	6	6	4	66.66667	0	0	0	4_Random_controls					
0.MANVI,CHLUN,TAUER,MESUN,PTEGU,COLLI	3	3	1	33.33333	0	0	0	4_Random_controls					
0.MANVI,FULGL,PYGAD,APTFO,PHORU,PODCR	0	0	0	0	0	0	0	4_Random_controls					
0.MANVI,HALLE,HALAL,CATAU,TINMA,STRCA	20	18	17	94.44444	2	2	100	4_Random_controls					
0.MANVI,MERNU,PICPU,BUCRH,APAVI,ANAPL	3	3	2	66.66667	0	0	0	4_Random_controls					
0.MANVI,MERNU,PICPU,BUCRH,APAVI,CATAU	2	2	1	50	0	0	0	4_Random_controls					
0.MANVI,MERNU,PICPU,BUCRH,APAVI,CHLUN	7	7	4	57.14286	2	1	50	4_Random_controls					
0.MANVI,MERNU,PICPU,BUCRH,APAVI,COLLI	7	7	5	71.42857	0	0	0	4_Random_controls					
0.MANVI,MERNU,PICPU,BUCRH,APAVI,TYTAL	2	2	0	0	0	0	0	4_Random_controls					
0.MANVI,MERNU,PICPU,BUCRH,PHORU,PODCR	2	2	2	100	0	0	0	4_Random_controls					
0.MANVI,PELCR,EGRGA,NIPNI,CHLUN,TAUER	1	0	0	0	0	0	0	4_Random_controls					
0.MANVI,PELCR,EGRGA,NIPNI,PHACA,GAVST	2	2	1	50	0	0	0	4_Random_controls					
0.MANVI,PELCR,EGRGA,NIPNI,PHACA,MESUN	0	0	0	0	0	0	0	4_Random_controls					
0.MANVI,PELCR,EGRGA,NIPNI,PHACA,PHORU	0	0	0	0	0	0	0	4_Random_controls					
0.MANVI,PELCR,EGRGA,NIPNI,TINMA,STRCA	1	1	0	0	0	0	0	4_Random_controls					
0.MANVI,PHALE,EURHE,CALAN,CHAPE,CAPCA	2	2	2	100	0	0	0	4_Random_controls					
0.MANVI,PHALE,EURHE,GALGA,MELGA,ANAPL	15	13	9	69.23077	1	0	0	4_Random_controls					
0.MANVI,PYGAD,APTFO,CALAN,CHAPE,CAPCA	2	1	1	100	0	0	0	4_Random_controls					
0.MANVI,PYGAD,APTFO,CHAVO,BALRE,OPHHO	1	1	1	100	0	0	0	4_Random_controls					
0.MANVI,TYTAL,PELCR,EGRGA,NIPNI,PHACA	1	0	0	0	0	0	0	4_Random_controls					
0.MELUN,CALAN,CHAPE,CAPCA,MESUN,PTEGU	3	2	2	100	0	0	0	4_Random_controls					
0.MELUN,CALAN,CHAPE,CAPCA,PHORU,PODCR	7	7	6	85.71429	1	1	100	4_Random_controls					
0.MELUN,CALAN,CHAPE,CAPCA,TINMA,STRCA	5	5	5	100	0	0	0	4_Random_controls					
0.MELUN,CALAN,CHAPE,MESUN,PTEGU,COLLI	4	3	3	100	1	1	100	4_Random_controls					
0.MELUN,CHAVO,BALRE,OPHHO,MESUN,PTEGU	0	0	0	0	0	0	0	4_Random_controls					
0.MELUN,CHAVO,BALRE,OPHHO,PHORU,PODCR	0	0	0	0	0	0	0	4_Random_controls					
0.MELUN,FALPE,MERNU,PICPU,BUCRH,APAVI	6	6	5	83.33333	1	1	100	4_Random_controls					
0.MELUN,FULGL,PYGAD,APTFO,MESUN,PTEGU	2	2	2	100	0	0	0	4_Random_controls					
0.MELUN,HALLE,HALAL,CALAN,CHAPE,CAPCA	9	8	6	75	1	1	100	4_Random_controls					
0.MELUN,HALLE,HALAL,CATAU,MESUN,PTEGU	2	2	1	50	0	0	0	4_Random_controls					
0.MELUN,HALLE,HALAL,CATAU,PELCR,EGRGA	3	3	3	100	0	0	0	4_Random_controls					
0.MELUN,HALLE,HALAL,CHAVO,BALRE,OPHHO	0	0	0	0	0	0	0	4_Random_controls					
0.MELUN,HALLE,HALAL,MESUN,PTEGU,COLLI	4	3	2	66.66667	0	0	0	4_Random_controls					
0.MELUN,MERNU,PICPU,BUCRH,APAVI,ANAPL	6	5	5	100	0	0	0	4_Random_controls					
0.MELUN,MERNU,PICPU,BUCRH,APAVI,APTFO	1	1	1	100	0	0	0	4_Random_controls					
0.MELUN,MERNU,PICPU,BUCRH,APAVI,GALGA	5	5	3	60	0	0	0	4_Random_controls					
0.MELUN,MERNU,PICPU,BUCRH,APAVI,PODCR	3	2	0	0	1	0	0	4_Random_controls					
0.MELUN,MERNU,PICPU,BUCRH,APAVI,TAUER	4	3	2	66.66667	1	0	0	4_Random_controls					
0.MELUN,NESNO,APAVI,CHAVO,BALRE,OPHHO	1	1	1	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,APAVI,GALGA,MELGA,ANAPL	61	52	43	82.69231	7	6	85.71429	4_Random_controls					
0.MELUN,NESNO,BALRE,MESUN,PTEGU,COLLI	1	1	1	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,CALAN,CHAPE,CAPCA,ANAPL	13	9	9	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,CALAN,CHAPE,CAPCA,CUCCA	16	13	13	100	2	2	100	4_Random_controls					
0.MELUN,NESNO,CALAN,CHAPE,CAPCA,PTEGU	9	8	8	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,CALAN,CHAPE,CAPCA,TINMA	13	10	10	100	1	1	100	4_Random_controls					
0.MELUN,NESNO,CALAN,CHAPE,GALGA,MELGA	67	58	41	70.68966	8	4	50	4_Random_controls					
0.MELUN,NESNO,CHAVO,BALRE,GALGA,MELGA	10	9	6	66.66667	0	0	0	4_Random_controls					
0.MELUN,NESNO,CHAVO,BALRE,OPHHO,COLLI	2	1	1	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,CHAVO,GALGA,MELGA,ANAPL	42	35	27	77.14286	6	3	50	4_Random_controls					
0.MELUN,NESNO,FALPE,CHLUN,TAUER,CUCCA	3	3	3	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,FULGL,MESUN,PTEGU,COLLI	1	1	1	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,FULGL,PYGAD,APTFO,CUCCA	5	4	3	75	2	1	50	4_Random_controls					
0.MELUN,NESNO,GALGA,MELGA,ANAPL,TINMA	118	97	70	72.16495	11	5	45.45455	4_Random_controls					
0.MELUN,NESNO,HALLE,CHAVO,BALRE,OPHHO	1	1	1	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,HALLE,CHLUN,TAUER,CUCCA	1	0	0	0	0	0	0	4_Random_controls					
0.MELUN,NESNO,HALLE,FULGL,PYGAD,APTFO	0	0	0	0	0	0	0	4_Random_controls					
0.MELUN,NESNO,HALLE,HALAL,CATAU,ANAPL	11	11	10	90.90909	2	2	100	4_Random_controls					
0.MELUN,NESNO,HALLE,HALAL,CATAU,CUCCA	7	7	7	100	1	1	100	4_Random_controls					
0.MELUN,NESNO,HALLE,HALAL,CATAU,TINMA	15	14	12	85.71429	2	2	100	4_Random_controls					
0.MELUN,NESNO,HALLE,MESUN,PTEGU,COLLI	0	0	0	0	0	0	0	4_Random_controls					
0.MELUN,NESNO,HALLE,PELCR,EGRGA,NIPNI	0	0	0	0	0	0	0	4_Random_controls					
0.MELUN,NESNO,LEPDI,CHLUN,TAUER,CUCCA	1	1	1	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,LEPDI,FULGL,PYGAD,APTFO	0	0	0	0	0	0	0	4_Random_controls					
0.MELUN,NESNO,LEPDI,HALLE,HALAL,CATAU	8	8	7	87.5	2	1	50	4_Random_controls					
0.MELUN,NESNO,MERNU,CALAN,CHAPE,CAPCA	14	12	10	83.33333	1	1	100	4_Random_controls					
0.MELUN,NESNO,MERNU,PICPU,BUCRH,GALGA	9	7	7	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,MERNU,PICPU,BUCRH,GAVST	13	11	9	81.81818	1	0	0	4_Random_controls					
0.MELUN,NESNO,MERNU,PICPU,BUCRH,HALLE	3	2	2	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,MERNU,PICPU,BUCRH,PHALE	5	5	4	80	0	0	0	4_Random_controls					
0.MELUN,NESNO,MERNU,PICPU,PHALE,EURHE	4	4	4	100	1	1	100	4_Random_controls					
0.MELUN,NESNO,NIPNI,CALAN,CHAPE,CAPCA	4	4	4	100	1	1	100	4_Random_controls					
0.MELUN,NESNO,OPHHO,CHLUN,TAUER,CUCCA	4	4	4	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,PELCR,CHLUN,TAUER,CUCCA	2	2	2	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,PELCR,EGRGA,CHAVO,BALRE	0	0	0	0	0	0	0	4_Random_controls					
0.MELUN,NESNO,PELCR,EGRGA,NIPNI,FULGL	1	1	1	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,PELCR,EGRGA,NIPNI,OPHHO	3	3	3	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,PHACA,MESUN,PTEGU,COLLI	6	6	3	50	0	0	0	4_Random_controls					
0.MELUN,NESNO,PHALE,EURHE,MESUN,PTEGU	4	4	3	75	0	0	0	4_Random_controls					
0.MELUN,NESNO,PHORU,PODCR,GALGA,MELGA	16	14	12	85.71429	3	2	66.66667	4_Random_controls					
0.MELUN,NESNO,PICPU,CHLUN,TAUER,CUCCA	2	2	2	100	0	0	0	4_Random_controls					
0.MELUN,NESNO,PICPU,HALLE,HALAL,CATAU	17	15	12	80	4	4	100	4_Random_controls					
0.MELUN,NESNO,PYGAD,APTFO,PHALE,EURHE	8	8	7	87.5	2	2	100	4_Random_controls					
0.MELUN,NESNO,TYTAL,CHAVO,BALRE,OPHHO	3	2	2	100	0	0	0	4_Random_controls					
0.MELUN,PELCR,EGRGA,GALGA,MELGA,ANAPL	4	4	4	100	0	0	0	4_Random_controls					
0.MELUN,PELCR,EGRGA,NIPNI,PHACA,PTEGU	0	0	0	0	0	0	0	4_Random_controls					
0.MELUN,PYGAD,APTFO,CHLUN,TAUER,CUCCA	2	2	2	100	0	0	0	4_Random_controls					
0.MELUN,PYGAD,APTFO,GALGA,MELGA,ANAPL	19	14	9	64.28571	1	0	0	4_Random_controls					
0.MERNU,CHAVO,BALRE,GALGA,MELGA,ANAPL	6	5	2	40	0	0	0	4_Random_controls					
0.MERNU,CHAVO,BALRE,OPHHO,GALGA,MELGA	2	0	0	0	0	0	0	4_Random_controls					
0.MERNU,CHAVO,BALRE,OPHHO,MESUN,PTEGU	1	1	1	100	0	0	0	4_Random_controls					
0.MERNU,CHLUN,TAUER,CUCCA,TINMA,STRCA	3	3	3	100	0	0	0	4_Random_controls					
0.MERNU,HALLE,HALAL,CATAU,GALGA,MELGA	21	20	16	80	3	1	33.33333	4_Random_controls					
0.MERNU,HALLE,HALAL,CATAU,MESUN,PTEGU	9	7	5	71.42857	1	1	100	4_Random_controls					
0.MERNU,HALLE,HALAL,CATAU,TINMA,STRCA	14	14	10	71.42857	3	1	33.33333	4_Random_controls					
0.MERNU,HALLE,HALAL,CHAVO,BALRE,OPHHO	2	2	0	0	0	0	0	4_Random_controls					
0.MERNU,HALLE,HALAL,FULGL,PYGAD,APTFO	1	1	1	100	0	0	0	4_Random_controls					
0.MERNU,PELCR,EGRGA,CALAN,CHAPE,CAPCA	1	1	1	100	0	0	0	4_Random_controls					
0.MERNU,PELCR,EGRGA,GALGA,MELGA,ANAPL	6	4	2	50	2	0	0	4_Random_controls					
0.MERNU,PELCR,EGRGA,NIPNI,CHAVO,BALRE	1	1	1	100	0	0	0	4_Random_controls					
0.MERNU,PELCR,EGRGA,NIPNI,PHACA,GALGA	2	2	1	50	0	0	0	4_Random_controls					
0.MERNU,PELCR,EGRGA,NIPNI,PHACA,GAVST	0	0	0	0	0	0	0	4_Random_controls					
0.MERNU,PICPU,APAVI,CHAVO,BALRE,OPHHO	1	1	0	0	0	0	0	4_Random_controls					
0.MERNU,PICPU,APAVI,MESUN,PTEGU,COLLI	4	4	4	100	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,APTFO,ANAPL	0	0	0	0	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,APTFO,CHAVO	0	0	0	0	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,APTFO,COLLI	0	0	0	0	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CALAN,ANAPL	6	6	5	83.33333	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CALAN,GALGA	4	3	3	100	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CALAN,PODCR	2	1	1	100	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CALAN,TINMA	10	10	9	90	2	2	100	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CATAU,CUCCA	3	3	3	100	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CATAU,GAVST	4	4	3	75	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CATAU,MELGA	1	1	1	100	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CATAU,PHALE	1	0	0	0	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CATAU,PODCR	2	2	1	50	1	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CHAPE,ANAPL	9	9	8	88.88889	1	1	100	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CHAPE,PHORU	4	4	4	100	1	1	100	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CHAVO,CHLUN	3	2	2	100	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CHAVO,GALGA	2	2	2	100	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CHLUN,MELGA	1	1	1	100	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CHLUN,TINMA	5	4	3	75	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,COLST,CALAN	10	10	9	90	1	1	100	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,COLST,PYGAD	1	1	1	100	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,COLST,TAUER	10	8	8	100	2	2	100	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CUCCA,COLLI	3	3	2	66.66667	1	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,CUCCA,STRCA	5	4	4	100	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,EGRGA,MELGA	5	5	4	80	0	0	0	4_Random_controls					
0.MERNU,PICPU,BUCRH,APAVI,EGRGA,PHACA	2	2	2	100	0	0	0	4_Random_controls					
