Targets	N.A	HumanOrtho	HumanTAAS	HumanTAAS.HumanOrtho	HumanOrtho_inTAASc	HumanTAAS_inTAASc	HumanTAAS.HumanOrtho_inTAASc	Types					
0.CARCR,HALLE,HALAL,CATAU,CHAVO,BALRE	2	2	2	100	1	1	100	4_Random_controls					
0.CARCR,HALLE,HALAL,CHAVO,BALRE,OPHHO	0	0	0	0	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,ANAPL	4	4	4	100	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,BALRE	2	2	1	50	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,CALAN	8	7	6	85.71429	1	1	100	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,CHAPE	4	4	2	50	1	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,CHAVO	0	0	0	0	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,COLLI	3	2	1	50	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,NIPNI	2	1	1	100	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,PHACA	5	4	4	100	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,APAVI,PHALE	2	2	2	100	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,HALLE,HALAL	4	4	4	100	0	0	0	4_Random_controls					
0.CARCR,MERNU,PICPU,BUCRH,PHORU,PODCR	2	2	2	100	0	0	0	4_Random_controls					
0.CARCR,MESUN,PTEGU,COLLI,GALGA,MELGA	3	1	1	100	1	1	100	4_Random_controls					
0.CARCR,PELCR,EGRGA,NIPNI,PHACA,BALRE	0	0	0	0	0	0	0	4_Random_controls					
0.CARCR,PELCR,EGRGA,NIPNI,PHACA,PHALE	2	2	1	50	0	0	0	4_Random_controls					
0.CARCR,PELCR,EGRGA,NIPNI,TINMA,STRCA	4	3	2	66.66667	0	0	0	4_Random_controls					
0.CARCR,PYGAD,APTFO,CHLUN,TAUER,CUCCA	2	1	1	100	0	0	0	4_Random_controls					
0.CARCR,PYGAD,APTFO,MESUN,PTEGU,COLLI	4	4	4	100	1	1	100	4_Random_controls					
0.CATAU,CHAVO,BALRE,CHLUN,TAUER,CUCCA	1	1	1	100	0	0	0	4_Random_controls					
0.CATAU,CHAVO,BALRE,MESUN,PTEGU,COLLI	0	0	0	0	0	0	0	4_Random_controls					
0.CATAU,CHAVO,BALRE,OPHHO,TINMA,STRCA	2	2	2	100	0	0	0	4_Random_controls					
0.CATAU,CHLUN,TAUER,CUCCA,MESUN,PTEGU	0	0	0	0	0	0	0	4_Random_controls					
0.CATAU,FULGL,PYGAD,APTFO,PHALE,EURHE	1	1	1	100	0	0	0	4_Random_controls					
0.CATAU,PELCR,EGRGA,NIPNI,CALAN,CHAPE	0	0	0	0	0	0	0	4_Random_controls					
0.CATAU,PELCR,EGRGA,NIPNI,CHLUN,TAUER	0	0	0	0	0	0	0	4_Random_controls					
0.CATAU,PELCR,EGRGA,NIPNI,PHACA,CHAVO	0	0	0	0	0	0	0	4_Random_controls					
0.CATAU,PELCR,EGRGA,NIPNI,PHACA,EURHE	1	1	1	100	0	0	0	4_Random_controls					
0.CATAU,PELCR,EGRGA,NIPNI,PHACA,GALGA	0	0	0	0	0	0	0	4_Random_controls					
0.CATAU,PELCR,EGRGA,NIPNI,PHACA,PHALE	0	0	0	0	0	0	0	4_Random_controls					
0.CATAU,PELCR,EGRGA,NIPNI,PHALE,EURHE	0	0	0	0	0	0	0	4_Random_controls					
0.CATAU,PYGAD,APTFO,CALAN,CHAPE,CAPCA	0	0	0	0	0	0	0	4_Random_controls					
0.CATAU,PYGAD,APTFO,CHLUN,TAUER,CUCCA	1	1	1	100	1	1	100	4_Random_controls					
0.CHAPE,CHLUN,TAUER,MESUN,PTEGU,COLLI	3	3	3	100	0	0	0	4_Random_controls					
0.CHAVO,BALRE,CAPCA,GALGA,MELGA,ANAPL	5	4	4	100	1	1	100	4_Random_controls					
0.CHAVO,BALRE,CHLUN,GALGA,MELGA,ANAPL	8	6	5	83.33333	1	1	100	4_Random_controls					
0.CHAVO,BALRE,CHLUN,TAUER,CUCCA,PTEGU	1	1	1	100	0	0	0	4_Random_controls					
0.CHAVO,BALRE,CHLUN,TAUER,CUCCA,TINMA	1	1	1	100	0	0	0	4_Random_controls					
0.CHAVO,BALRE,CHLUN,TAUER,MESUN,PTEGU	1	1	0	0	1	0	0	4_Random_controls					
0.CHAVO,BALRE,MESUN,PTEGU,GALGA,MELGA	6	6	6	100	0	0	0	4_Random_controls					
0.CHAVO,BALRE,OPHHO,CALAN,CHAPE,PTEGU	1	1	1	100	0	0	0	4_Random_controls					
0.CHAVO,BALRE,OPHHO,CALAN,MESUN,PTEGU	0	0	0	0	0	0	0	4_Random_controls					
0.CHAVO,BALRE,OPHHO,CHLUN,TAUER,PTEGU	0	0	0	0	0	0	0	4_Random_controls					
0.CHAVO,BALRE,OPHHO,CUCCA,TINMA,STRCA	4	3	2	66.66667	0	0	0	4_Random_controls					
0.CHAVO,BALRE,OPHHO,PHORU,PODCR,GALGA	2	2	1	50	0	0	0	4_Random_controls					
0.CHAVO,BALRE,PODCR,GALGA,MELGA,ANAPL	6	6	5	83.33333	0	0	0	4_Random_controls					
0.CHAVO,CHLUN,TAUER,CUCCA,PHORU,PODCR	4	3	3	100	1	1	100	4_Random_controls					
0.CHLUN,PHORU,PODCR,GALGA,MELGA,ANAPL	13	13	13	100	2	2	100	4_Random_controls					
0.CHLUN,TAUER,CUCCA,MESUN,PTEGU,PODCR	1	1	1	100	0	0	0	4_Random_controls					
0.CHLUN,TAUER,CUCCA,MESUN,PTEGU,STRCA	1	1	1	100	0	0	0	4_Random_controls					
0.CHLUN,TAUER,CUCCA,MESUN,PTEGU,TINMA	3	3	2	66.66667	0	0	0	4_Random_controls					
0.CHLUN,TAUER,CUCCA,PHORU,PODCR,TINMA	2	2	1	50	0	0	0	4_Random_controls					
0.CHLUN,TAUER,MESUN,PTEGU,COLLI,ANAPL	6	5	4	80	0	0	0	4_Random_controls					
0.CHLUN,TAUER,MESUN,PTEGU,COLLI,TINMA	3	2	2	100	0	0	0	4_Random_controls					
0.CHLUN,TAUER,MESUN,PTEGU,TINMA,STRCA	12	11	11	100	0	0	0	4_Random_controls					
0.CHLUN,TAUER,PHORU,PODCR,TINMA,STRCA	6	6	4	66.66667	1	0	0	4_Random_controls					
0.COLST,CALAN,CHAPE,CAPCA,CHLUN,TAUER	3	2	2	100	0	0	0	4_Random_controls					
0.COLST,CHAVO,BALRE,MESUN,PTEGU,COLLI	1	1	1	100	0	0	0	4_Random_controls					
0.COLST,CHAVO,BALRE,OPHHO,CALAN,CHAPE	0	0	0	0	0	0	0	4_Random_controls					
0.COLST,CHLUN,TAUER,CUCCA,GALGA,MELGA	5	4	4	100	0	0	0	4_Random_controls					
0.COLST,FULGL,PYGAD,APTFO,CHAVO,BALRE	1	1	0	0	1	0	0	4_Random_controls					
0.COLST,FULGL,PYGAD,APTFO,PHORU,PODCR	0	0	0	0	0	0	0	4_Random_controls					
0.COLST,HALLE,HALAL,CATAU,MESUN,PTEGU	5	3	1	33.33333	1	1	100	4_Random_controls					
0.COLST,HALLE,HALAL,CHAVO,BALRE,OPHHO	0	0	0	0	0	0	0	4_Random_controls					
0.COLST,HALLE,HALAL,CHLUN,TAUER,CUCCA	1	1	1	100	0	0	0	4_Random_controls					
0.COLST,HALLE,HALAL,FULGL,PYGAD,APTFO	2	2	2	100	1	1	100	4_Random_controls					
0.COLST,HALLE,HALAL,GALGA,MELGA,ANAPL	35	26	23	88.46154	9	8	88.88889	4_Random_controls					
0.COLST,PELCR,EGRGA,CHLUN,TAUER,CUCCA	0	0	0	0	0	0	0	4_Random_controls					
0.COLST,PELCR,EGRGA,NIPNI,PHACA,CUCCA	2	1	1	100	0	0	0	4_Random_controls					
0.COLST,PELCR,EGRGA,NIPNI,PHACA,EURHE	2	2	2	100	0	0	0	4_Random_controls					
0.COLST,PYGAD,APTFO,MESUN,PTEGU,COLLI	2	2	2	100	0	0	0	4_Random_controls					
0.CORBR,CHAVO,BALRE,MESUN,PTEGU,COLLI	0	0	0	0	0	0	0	4_Random_controls					
0.CORBR,CHLUN,TAUER,CUCCA,PHORU,PODCR	3	3	3	100	0	0	0	4_Random_controls					
0.CORBR,CHLUN,TAUER,CUCCA,TINMA,STRCA	3	3	3	100	0	0	0	4_Random_controls					
0.CORBR,FALPE,MERNU,PICPU,BUCRH,APAVI	1	1	1	100	0	0	0	4_Random_controls					
0.CORBR,HALLE,HALAL,CATAU,CHAVO,BALRE	0	0	0	0	0	0	0	4_Random_controls					
0.CORBR,HALLE,HALAL,GALGA,MELGA,ANAPL	18	16	13	81.25	3	2	66.66667	4_Random_controls					
0.CORBR,MERNU,PICPU,BUCRH,APAVI,GAVST	2	2	1	50	0	0	0	4_Random_controls					
0.CORBR,MERNU,PICPU,BUCRH,APAVI,HALAL	0	0	0	0	0	0	0	4_Random_controls					
0.CORBR,MERNU,PICPU,BUCRH,APAVI,NIPNI	1	1	1	100	0	0	0	4_Random_controls					
0.CORBR,MERNU,PICPU,BUCRH,APAVI,PHORU	4	4	3	75	0	0	0	4_Random_controls					
0.CORBR,MERNU,PICPU,BUCRH,APAVI,TINMA	6	6	4	66.66667	0	0	0	4_Random_controls					
0.CORBR,MERNU,PICPU,MESUN,PTEGU,COLLI	4	4	3	75	0	0	0	4_Random_controls					
0.CORBR,MESUN,PTEGU,COLLI,GALGA,MELGA	4	4	4	100	0	0	0	4_Random_controls					
0.CORBR,PELCR,EGRGA,NIPNI,CALAN,CHAPE	1	1	0	0	0	0	0	4_Random_controls					
0.CORBR,PELCR,EGRGA,NIPNI,GALGA,MELGA	2	2	1	50	1	0	0	4_Random_controls					
0.CORBR,PELCR,EGRGA,NIPNI,PHACA,PTEGU	1	1	0	0	0	0	0	4_Random_controls					
0.CORBR,PELCR,EGRGA,NIPNI,PYGAD,APTFO	0	0	0	0	0	0	0	4_Random_controls					
0.CORBR,PHALE,EURHE,CALAN,CHAPE,CAPCA	1	0	0	0	0	0	0	4_Random_controls					
0.CORBR,PHALE,EURHE,GALGA,MELGA,ANAPL	9	7	4	57.14286	2	1	50	4_Random_controls					
0.CUCCA,MESUN,PTEGU,GALGA,MELGA,ANAPL	24	22	19	86.36364	5	4	80	4_Random_controls					
0.EGRGA,CALAN,CHAPE,CAPCA,GALGA,MELGA	9	8	8	100	1	1	100	4_Random_controls					
0.EGRGA,PHALE,EURHE,CALAN,CHAPE,CAPCA	1	1	1	100	0	0	0	4_Random_controls					
0.EGRGA,PHALE,EURHE,CHLUN,TAUER,CUCCA	1	1	1	100	0	0	0	4_Random_controls					
0.EGRGA,PYGAD,APTFO,GALGA,MELGA,ANAPL	15	12	11	91.66667	0	0	0	4_Random_controls					
0.EURHE,CALAN,CHAPE,GALGA,MELGA,ANAPL	34	30	26	86.66667	5	4	80	4_Random_controls					
0.EURHE,CHAVO,BALRE,OPHHO,GALGA,MELGA	2	2	1	50	0	0	0	4_Random_controls					
0.EURHE,CHLUN,TAUER,CUCCA,MESUN,PTEGU	1	1	1	100	0	0	0	4_Random_controls					
0.EURHE,CHLUN,TAUER,CUCCA,PHORU,PODCR	3	2	2	100	0	0	0	4_Random_controls					
0.FALPE,CALAN,CHAPE,CAPCA,GALGA,MELGA	16	14	13	92.85714	1	1	100	4_Random_controls					
0.FALPE,CHAVO,BALRE,OPHHO,GALGA,MELGA	2	2	1	50	0	0	0	4_Random_controls					
0.FALPE,CHLUN,TAUER,CUCCA,MESUN,PTEGU	1	1	1	100	0	0	0	4_Random_controls					
0.FALPE,FULGL,PYGAD,APTFO,CHAVO,BALRE	0	0	0	0	0	0	0	4_Random_controls					
0.FALPE,HALAL,PELCR,EGRGA,NIPNI,PHACA	1	1	1	100	0	0	0	4_Random_controls					
0.FALPE,HALLE,HALAL,GALGA,MELGA,ANAPL	35	32	25	78.125	4	4	100	4_Random_controls					
0.FALPE,MERNU,PICPU,BUCRH,APAVI,COLLI	4	4	2	50	1	0	0	4_Random_controls					
0.FALPE,MERNU,PICPU,BUCRH,APAVI,EURHE	6	4	3	75	0	0	0	4_Random_controls					
0.FALPE,MERNU,PICPU,BUCRH,APAVI,HALAL	0	0	0	0	0	0	0	4_Random_controls					
0.FALPE,MERNU,PICPU,BUCRH,APAVI,OPHHO	3	3	3	100	1	1	100	4_Random_controls					
0.FALPE,MERNU,PICPU,BUCRH,APAVI,PELCR	4	4	2	50	0	0	0	4_Random_controls					
0.FALPE,MERNU,PICPU,BUCRH,APAVI,PHORU	2	2	2	100	2	2	100	4_Random_controls					
0.FALPE,MERNU,PICPU,BUCRH,CALAN,CHAPE	10	8	7	87.5	1	0	0	4_Random_controls					
0.FALPE,MERNU,PICPU,BUCRH,GALGA,MELGA	20	19	13	68.42105	2	1	50	4_Random_controls					
0.FALPE,MERNU,PICPU,CALAN,CHAPE,CAPCA	6	6	6	100	2	2	100	4_Random_controls					
0.FALPE,MESUN,PTEGU,GALGA,MELGA,ANAPL	25	22	20	90.90909	1	1	100	4_Random_controls					
